year,spotrac_id,player,from_team,to_team,kind,pos,years,value,aav,status
2015,8053,Enes Freedom,OKC,OKC,re_sign,C,4,70060026,17515007,Official
2015,8058,Brandon Knight,PHX,PHX,re_sign,PG,5,70000000,14000000,Official
2015,10864,Khris Middleton,MIL,MIL,re_sign,SF,5,70000000,14000000,Official
2015,8070,Tobias Harris,ORL,ORL,re_sign,PF,4,64000000,16000000,Official
2015,6136,Brook Lopez,BKN,BKN,re_sign,C,3,63497025,21165675,Official
2015,2754,Paul Millsap,ATL,ATL,re_sign,PF,3,60216100,20072033,Official
2015,6294,DeMarre Carroll,ATL,TOR,move,SF,4,58000000,14500000,Official
2015,7110,Omer Asik,NOP,NOP,re_sign,C,5,57977525,11595505,Official
2015,6147,Robin Lopez,POR,NYK,move,C,4,54015500,13503875,Official
2015,2658,Thaddeus Young,BKN,BKN,re_sign,PF,4,54000000,13500000,Official
2015,2605,Tyson Chandler,DAL,PHX,move,C,4,52000000,13000000,Official
2015,6889,Greg Monroe,DET,MIL,move,C,3,51437513,17145838,Official
2015,2318,Monta Ellis,DAL,IND,move,SG,4,43981000,10995250,Official
2015,8068,Iman Shumpert,CLE,CLE,re_sign,SG,4,40000000,10000000,Official
2015,6277,Danny Green,SAS,SAS,re_sign,SG,4,40000000,10000000,Official
2015,10859,Jae Crowder,BOS,BOS,re_sign,SF,5,35000000,7000000,Official
2015,6254,Kosta Koufos,MEM,SAC,move,C,4,32879000,8219750,Official
2015,6890,Al-Farouq Aminu,DAL,POR,move,PF,4,30000000,7500000,Official
2015,8080,Cory Joseph,SAS,TOR,move,PG,4,29890000,7472500,Official
2015,2304,Amir Johnson,TOR,BOS,move,C,2,24000000,12000000,Official
2015,2573,Corey Brewer,HOU,HOU,re_sign,SG,3,23420913,7806971,Official
2015,6297,Patrick Beverley,HOU,HOU,re_sign,PG,4,23027026,5756757,Official
2015,2657,Louis Williams,TOR,LAL,move,SG,3,21000000,7000000,Official
2015,6895,Ed Davis,LAL,POR,move,C,3,20000000,6666667,Official
2015,11850,Aron Baynes,SAS,DET,move,C,3,19500000,6500000,Official
2015,6087,Alexis Ajinca,NOP,NOP,re_sign,C,4,19200000,4800000,Official
2015,8085,Kyle Singler,OKC,OKC,re_sign,SF,4,19000000,4750000,Official
2015,2314,Marco Belinelli,SAS,SAC,move,SG,3,19000000,6333333,Official
2015,2325,Brandan Wright,PHX,MEM,move,PF,3,17129640,5709880,Official
2015,2214,Kevin Garnett,MIN,MIN,re_sign,PF,2,16500000,8250000,Official
2015,10874,Kyle O'Quinn,ORL,NYK,move,C,4,16012500,4003125,Official
2015,2269,Jose Barea,DAL,DAL,re_sign,PG,4,16001700,4000425,Official
2015,2297,Arron Afflalo,POR,NYK,move,SG,2,16000000,8000000,Official
2015,2324,C.J. Watson,IND,ORL,move,PG,3,15000000,5000000,Official
2015,2406,Mike Dunleavy,CHI,CHI,re_sign,SF,3,14512500,4837500,Official
2015,2642,Jameer Nelson,DEN,DEN,re_sign,PG,3,13621575,4540525,Official
2015,2757,Deron Williams,BKN,DAL,move,PG,2,11000000,5500000,Official
2015,2703,Tim Duncan,SAS,SAS,re_sign,PF,2,10850000,5425000,Official
2015,10865,Will Barton,DEN,DEN,re_sign,SG,3,10599999,3533333,Official
2015,2217,Paul Pierce,WAS,LAC,move,SF,3,10583760,3527920,Official
2015,6285,Jonas Jerebko,BOS,BOS,re_sign,PF,2,10000000,5000000,Official
2015,2222,Rajon Rondo,DAL,SAC,move,PG,1,9500000,9500000,Official
2015,8052,Derrick Williams,SAC,NYK,move,PF,2,8998000,4499000,Official
2015,6321,Dante Cunningham,NOP,NOP,re_sign,PF,3,8934750,2978250,Official
2015,8102,LaVoy Allen,IND,IND,re_sign,PF,2,8050000,4025000,Official
2015,2242,Drew Gooden,WAS,WAS,re_sign,PF,2,6847000,3423500,Official
2015,15384,K.J. McDaniels,HOU,HOU,re_sign,SG,2,6523126,3261563,Official
2015,10818,Austin Rivers,LAC,LAC,re_sign,SG,2,6454902,3227451,Official
2015,2270,Brandon Bass,BOS,LAL,move,PF,2,6135000,3067500,Official
2015,6325,Omri Casspi,SAC,SAC,re_sign,SF,2,5800000,2900000,Official
2015,2705,Manu Ginobili,SAS,SAS,re_sign,SG,2,5754630,2877315,Official
2015,6121,Darrell Arthur,DEN,DEN,re_sign,PF,2,5754630,2877315,Official
2015,10905,Mirza Teletovic,BKN,PHX,move,PF,1,5464000,5464000,Official
2015,2543,Joel Anthony,DET,DET,re_sign,C,2,5000000,2500000,Official
2015,7115,Jeremy Lin,LAL,CHA,move,PG,2,4374255,2187128,Official
2015,2656,Jason Smith,NYK,ORL,move,PF,1,4300000,4300000,Official
2015,15852,Joe Ingles,UTA,UTA,re_sign,SF,2,4300000,2150000,Official
2015,2571,Mo Williams,CHA,CLE,move,PG,2,4294500,2147250,Official
2015,9261,Alan Anderson,BKN,WAS,move,SG,1,4000000,4000000,Official
2015,6310,Jordan Hill,LAL,IND,move,C,1,4000000,4000000,Official
2015,15392,Glenn Robinson III,PHI,IND,move,SF,3,3241000,1080333,Official
2015,10848,John Jenkins,ATL,DAL,move,SG,3,3211301,1070434,Official
2015,6302,Wayne Ellington,LAL,BKN,move,SG,2,3067500,1533750,Official
2015,2613,David West,IND,SAS,move,PF,2,3050846,1525423,Official
2015,2760,Caron Butler,MIL,SAC,move,SF,2,3050846,1525423,Official
2015,8079,Norris Cole,NOP,NOP,re_sign,PG,1,3036927,3036927,Official
2015,13331,Shane Larkin,NYK,BKN,move,PG,2,3000000,1500000,Official
2015,2730,Andrea Bargnani,NYK,BKN,move,C,2,2914556,1457278,Official
2015,2400,Luis Scola,IND,TOR,move,PF,1,2900000,2900000,Official
2015,6899,Kevin Seraphin,WAS,NYK,move,PF,1,2814000,2814000,Official
2015,6486,Alonzo Gee,POR,NOP,move,SF,2,2699400,1349700,Official
2015,13355,Pierre Jackson,PHI,PHI,re_sign,PG,4,2639382,659846,Official
2015,2659,Leandro Barbosa,GSW,GSW,re_sign,SG,1,2500000,2500000,Official
2015,6937,Jeremy Evans,UTA,DAL,move,SF,2,2327888,1163944,Official
2015,6898,Luke Babbitt,NOP,NOP,re_sign,SF,2,2327888,1163944,Official
2015,6885,Wesley Johnson,LAL,LAC,move,SF,2,2327888,1163944,Official
2015,2390,Aaron Brooks,CHI,CHI,re_sign,PG,1,2250000,2250000,Official
2015,6902,James Anderson,PHI,SAC,move,SG,2,2154544,1077272,Official
2015,6995,Gary Neal,MIN,WAS,move,PG,1,2139000,2139000,Official
2015,10862,Quincy Acy,NYK,SAC,move,PF,2,2032309,1016155,Official
2015,10813,Thomas Robinson,PHI,BKN,move,PF,2,2032309,1016155,Official
2015,13352,Jeff Withey,NOP,UTA,move,C,2,1962972,981486,Official
2015,11441,Justin Holiday,GSW,ATL,move,SG,2,1962972,981486,Official
2015,15591,Shayne Whittington,IND,IND,re_sign,PF,1,1825490,1825490,Official
2015,8713,Lance Thomas,NYK,NYK,re_sign,SF,1,1636842,1636842,Official
2015,2645,Louis Amundson,NYK,NYK,re_sign,PF,1,1635476,1635476,Official
2015,2307,Tayshaun Prince,DET,MIN,move,SF,1,1499187,1499187,Official
2015,2281,Jason Terry,HOU,HOU,re_sign,SG,1,1499187,1499187,Official
2015,2236,Jason Richardson,PHI,ATL,move,SG,1,1499187,1499187,Official
2015,2393,Chuck Hayes,TOR,LAC,move,PF,1,1499187,1499187,Official
2015,2676,James Jones,CLE,CLE,re_sign,SG,1,1499187,1499187,Official
2015,2701,Matt Bonner,SAS,SAS,re_sign,C,1,1499187,1499187,Official
2015,2594,Richard Jefferson,DAL,CLE,move,SF,1,1499187,1499187,Official
2015,2569,Charlie Villanueva,DAL,DAL,re_sign,PF,1,1499187,1499187,Official
2015,2756,Ronnie Price,LAL,PHX,move,PG,1,1499187,1499187,Official
2015,2205,Josh Smith,HOU,LAC,move,SF,1,1499187,1499187,Official
2015,6104,Dahntay Jones,LAC,BKN,move,SF,1,1499187,1499187,Official
2015,2669,Amar'e Stoudemire,DAL,MIA,move,PF,1,1499187,1499187,Official
2015,2216,Kendrick Perkins,CLE,NOP,move,C,1,1499187,1499187,Official
2015,15828,Ronald Roberts,PHI,TOR,move,SF,2,1399729,699865,Official
2015,6100,Gerald Green,PHX,MIA,move,SG,1,1356146,1356146,Official
2015,6308,Marcus Thornton,PHX,HOU,move,SG,1,1185784,1185784,Official
2015,6291,Tyler Hansbrough,TOR,CHA,move,PF,1,1185784,1185784,Official
2015,11037,Chris Copeland,IND,MIL,move,SF,1,1150000,1150000,Official
2015,13478,Matthew Dellavedova,CLE,CLE,re_sign,PG,1,1147276,1147276,Official
2015,7116,Ishmael Smith,PHI,WAS,move,PG,1,1100602,1100602,Official
2015,8678,Donald Sloan,IND,BKN,move,PG,1,1015421,1015421,Official
2015,8061,Jimmer Fredette,NOP,SAS,move,PG,1,1015421,1015421,Official
2015,10998,Pablo Prigioni,DEN,LAC,move,PG,1,981348,981348,Official
2015,13381,Phil Pressey,BOS,POR,move,PG,1,947276,947276,Official
2015,13442,Ian Clark,DEN,GSW,move,SG,1,947276,947276,Official
2015,13314,Anthony Bennett,MIN,TOR,move,PF,1,947276,947276,Official
2015,11665,Willie Reed,BKN,BKN,re_sign,C,1,947276,947276,Official
2015,15622,Eric Moreland,SAC,SAC,re_sign,PF,1,845059,845059,Official
2016,2532,Mike Conley,MEM,MEM,re_sign,PG,5,152605578,30521116,Official
2016,6327,DeMar DeRozan,TOR,TOR,re_sign,SF,5,139000000,27800000,Official
2016,10811,Bradley Beal,WAS,WAS,re_sign,SG,5,127171313,25434263,Official
2016,10817,Andre Drummond,DET,DET,re_sign,C,5,127171313,25434263,Official
2016,6149,Nicolas Batum,CHA,CHA,re_sign,SF,5,120000000,24000000,Official
2016,2199,Al Horford,ATL,BOS,move,C,4,113326228,28331557,Official
2016,2257,LeBron James,CLE,CLE,re_sign,PF,3,99857127,33285709,Official
2016,6915,Hassan Whiteside,MIA,MIA,re_sign,C,4,98419538,24604885,Official
2016,10815,Harrison Barnes,GSW,DAL,move,PF,4,94438525,23609631,Official
2016,8090,Chandler Parsons,DAL,MEM,move,SF,4,94438523,23609631,Official
2016,10845,Evan Fournier,ORL,ORL,re_sign,SG,5,85000000,17000000,Official
2016,6133,Ryan Anderson,NOP,HOU,move,PF,4,80000000,20000000,Official
2016,13344,Allen Crabbe,POR,POR,re_sign,SG,4,74832500,18708125,Official
2016,2248,Joakim Noah,CHI,NYK,move,C,4,72590000,18147500,Official
2016,2240,Luol Deng,MIA,LAL,move,SF,4,72000000,18000000,Official
2016,8057,Bismack Biyombo,TOR,ORL,move,C,4,72000000,18000000,Official
2016,2640,Dwight Howard,HOU,ATL,move,C,3,70500000,23500000,Official
2016,11079,Kent Bazemore,ATL,ATL,re_sign,SG,4,70000000,17500000,Official
2016,6883,Evan Turner,BOS,POR,move,SF,4,70000000,17500000,Official
2016,2708,Ian Mahinmi,IND,WAS,move,C,4,64000000,16000000,Official
2016,7118,Timofey Mozgov,CLE,LAL,move,C,4,64000000,16000000,Official
2016,2296,J.R. Smith,CLE,CLE,re_sign,SG,4,57000000,14250000,Official
2016,2208,Marvin Williams,CHA,CHA,re_sign,PF,4,54512500,13628125,Official
2016,2717,Kevin Durant,OKC,GSW,move,SF,2,54274505,27137253,Official
2016,6116,Eric Gordon,NOP,HOU,move,SG,4,52886489,13221622,Official
2016,10851,Miles Plumlee,MIL,MIL,re_sign,C,4,50000000,12500000,Official
2016,15398,Jordan Clarkson,LAL,LAL,re_sign,SG,4,50000000,12500000,Official
2016,15645,Tyler Johnson,MIA,MIA,re_sign,SG,4,50000000,12500000,Official
2016,6144,Courtney Lee,CHA,NYK,move,SG,4,48003340,12000835,Official
2016,13336,Solomon Hill,IND,NOP,move,SF,4,48000000,12000000,Official
2016,2556,Dwyane Wade,MIA,CHI,move,SG,2,47000000,23500000,Official
2016,10823,Maurice Harkless,POR,POR,re_sign,SF,4,42000000,10500000,Official
2016,2618,Jamal Crawford,LAC,LAC,re_sign,SG,3,42000000,14000000,Official
2016,8092,Jon Leuer,PHX,DET,move,PF,4,42000000,10500000,Official
2016,10819,Meyers Leonard,POR,POR,re_sign,C,4,41000000,10250000,Official
2016,13478,Matthew Dellavedova,CLE,MIL,move,PG,4,38430000,9607500,Official
2016,7115,Jeremy Lin,CHA,BKN,move,PG,3,38300000,12766667,Official
2016,10818,Austin Rivers,LAC,LAC,re_sign,SG,3,35475000,11825000,Official
2016,8107,E'Twaun Moore,CHI,NOP,move,SG,4,34000000,8500000,Official
2016,2518,Pau Gasol,CHI,SAS,move,C,2,31697500,15848750,Official
2016,2228,Jared Dudley,WAS,PHX,move,SF,3,30000000,10000000,Official
2016,2579,Al Jefferson,CHA,IND,move,C,3,30000000,10000000,Official
2016,6088,D.J. Augustin,DEN,ORL,move,PG,4,29000000,7250000,Official
2016,8713,Lance Thomas,NYK,NYK,re_sign,SF,4,27549950,6887488,Official
2016,2222,Rajon Rondo,SAC,CHI,move,PG,2,27397000,13698500,Official
2016,6150,Jerryd Bayless,MIL,PHI,move,PG,3,27000000,9000000,Official
2016,10844,Andrew Nicholson,ORL,WAS,move,PF,4,26000000,6500000,Official
2016,2279,Dirk Nowitzki,DAL,DAL,re_sign,PF,1,25000000,25000000,Official
2016,2297,Arron Afflalo,NYK,SAC,move,SG,2,25000000,12500000,Official
2016,6492,Garrett Temple,WAS,SAC,move,SG,3,24000000,8000000,Official
2016,2200,Joe Johnson,MIA,UTA,move,SG,2,21505000,10752500,Official
2016,17984,Boban Marjanovic,SAS,DET,move,C,3,21000000,7000000,Official
2016,6905,Trevor Booker,UTA,BKN,move,PF,2,18375000,9187500,Official
2016,10825,Tyler Zeller,BOS,BOS,re_sign,C,2,18000000,9000000,Official
2016,6275,Gerald Henderson,POR,PHI,move,SG,2,18000000,9000000,Official
2016,7116,Ishmael Smith,PHI,DET,move,PG,3,18000000,6000000,Official
2016,6885,Wesley Johnson,LAC,LAC,re_sign,SF,3,17643780,5881260,Official
2016,6483,Anthony Tolliver,DET,SAC,move,PF,2,16000000,8000000,Official
2016,2656,Jason Smith,ORL,WAS,move,PF,3,15675000,5225000,Official
2016,10855,Festus Ezeli,GSW,POR,move,C,2,15133000,7566500,Official
2016,2720,Jeff Green,LAC,ORL,move,PF,1,15000000,15000000,Official
2016,2705,Manu Ginobili,SAS,SAS,re_sign,SG,1,14000000,14000000,Official
2016,15767,Tarik Black,LAL,LAL,re_sign,PF,2,12846325,6423163,Official
2016,6302,Wayne Ellington,BKN,MIA,move,SG,2,12270000,6135000,Official
2016,2313,Matt Barnes,MEM,SAC,move,SF,2,12250000,6125000,Official
2016,13383,Troy Daniels,CHA,MEM,move,SG,3,10000009,3333336,Official
2016,2757,Deron Williams,DAL,DAL,re_sign,PG,1,10000000,10000000,Official
2016,10857,Tomas Satoransky,,WAS,from_outside,SG,3,9000000,3000000,Official
2016,2659,Leandro Barbosa,GSW,PHX,move,SG,2,8000000,4000000,Official
2016,6310,Jordan Hill,IND,MIN,move,C,2,8000000,4000000,Official
2016,6135,Yi Jianlian,,LAL,from_outside,PF,1,8000000,8000000,Official
2016,2594,Richard Jefferson,CLE,CLE,re_sign,SF,3,7612500,2537500,Official
2016,2566,Ramon Sessions,WAS,CHA,move,PG,1,6000000,6000000,Official
2016,10870,Justin Hamilton,MIN,BKN,move,C,2,6000000,3000000,Official
2016,10812,Dion Waiters,OKC,MIA,move,SG,2,5926410,2963205,Official
2016,13536,Dewayne Dedmon,ORL,SAS,move,C,2,5926410,2963205,Official
2016,13512,Seth Curry,SAC,DAL,move,SG,2,5926410,2963205,Official
2016,13363,James Ennis III,NOP,MEM,move,SF,2,5926410,2963205,Official
2016,10846,Jared Sullinger,BOS,TOR,move,PF,1,5628000,5628000,Official
2016,2400,Luis Scola,TOR,BKN,move,PF,1,5500000,5500000,Official
2016,6113,Roy Hibbert,LAL,CHA,move,C,1,5000000,5000000,Official
2016,6299,Brandon Jennings,ORL,NYK,move,PG,1,5000000,5000000,Official
2016,6910,Greivis Vasquez,MIL,BKN,move,PG,1,5000000,5000000,Official
2016,2756,Ronnie Price,PHX,OKC,move,PG,2,5000000,2500000,Official
2016,8052,Derrick Williams,NYK,MIA,move,PF,1,4598000,4598000,Official
2016,6130,Luc Richard Mbah a Moute,LAC,LAC,re_sign,PF,2,4505135,2252568,Official
2016,15755,Tim Frazier,NOP,NOP,re_sign,PG,2,4090000,2045000,Official
2016,6279,James Johnson,TOR,MIA,move,PF,1,4000000,4000000,Official
2016,2549,Udonis Haslem,MIA,MIA,re_sign,PF,1,4000000,4000000,Official
2016,2739,Kris Humphries,ATL,ATL,re_sign,PF,1,4000000,4000000,Official
2016,6114,Brandon Rush,GSW,MIN,move,SG,1,3500000,3500000,Official
2016,2623,David Lee,DAL,SAS,move,PF,2,3157626,1578813,Agreed
2016,13351,Nate Wolters,,DEN,from_outside,PG,3,3157492,1052497,Official
2016,18207,Marcelo Huertas,LAL,LAL,re_sign,PG,2,3067600,1533800,Official
2016,6103,Nene Hilario,WAS,HOU,move,C,1,2898000,2898000,Official
2016,2203,Zaza Pachulia,DAL,GSW,move,C,1,2898000,2898000,Official
2016,6145,Marreese Speights,GSW,LAC,move,PF,2,2863580,1431790,Official
2016,2390,Aaron Brooks,CHI,IND,move,PG,1,2700000,2700000,Agreed
2016,2576,Randy Foye,OKC,BKN,move,SG,1,2500000,2500000,Official
2016,15407,Semaj Christon,,OKC,from_outside,PG,3,2498982,832994,Official
2016,10862,Quincy Acy,SAC,DAL,move,PF,2,2229953,1114977,Official
2016,10998,Pablo Prigioni,LAC,HOU,move,PG,2,2229953,1114977,Official
2016,10850,Tony Wroten Jr.,MEM,MEM,re_sign,SG,2,2229953,1114977,Official
2016,13347,Isaiah Canaan,PHI,CHI,move,PG,2,2103441,1051721,Official
2016,11665,Willie Reed,BKN,MIA,move,C,2,2103441,1051721,Official
2016,13314,Anthony Bennett,,BKN,from_outside,PF,2,2103441,1051721,Official
2016,15390,Spencer Dinwiddie,CHI,CHI,re_sign,PG,2,2031676,1015838,Official
2016,15385,Joe Harris,,BKN,from_outside,SG,2,2031676,1015838,Official
2016,18218,Christian Wood,PHI,CHA,move,PF,2,1889382,944691,Official
2016,2229,Raymond Felton,DAL,LAC,move,PG,1,1551659,1551659,Official
2016,2675,Jarrett Jack,BKN,ATL,move,PG,1,1551659,1551659,Official
2016,6102,Chris Andersen,MEM,CLE,move,PF,1,1551659,1551659,Official
2016,2270,Brandon Bass,LAL,LAC,move,PF,1,1551659,1551659,Official
2016,2645,Louis Amundson,NYK,NYK,re_sign,PF,1,1551659,1551659,Official
2016,2613,David West,SAS,GSW,move,PF,1,1551659,1551659,Official
2016,2281,Jason Terry,HOU,MIL,move,SG,1,1551659,1551659,Official
2016,2687,Metta World Peace,LAL,LAL,re_sign,SF,1,1551659,1551659,Official
2016,2465,Elton Brand,PHI,PHI,re_sign,PF,1,1551659,1551659,Official
2016,2399,Steve Novak,MIL,MIL,re_sign,SF,1,1551659,1551659,Official
2016,2265,Anderson Varejao,GSW,GSW,re_sign,PF,1,1551659,1551659,Official
2016,14314,D.J. Stephens,,MEM,from_outside,SG,2,1448720,724360,Official
2016,2516,Jordan Farmar,MEM,SAC,move,PG,1,1410598,1410598,Official
2016,6100,Gerald Green,MIA,BOS,move,SG,1,1410598,1410598,Official
2016,2526,Sasha Vujacic,NYK,NYK,re_sign,SG,1,1410598,1410598,Official
2016,6486,Alonzo Gee,NOP,NOP,re_sign,SF,1,1400000,1400000,Official
2016,6283,Ty Lawson,IND,SAC,move,PG,1,1315448,1315448,Official
2016,9261,Alan Anderson,WAS,LAC,move,SG,1,1315448,1315448,Official
2016,6308,Marcus Thornton,WAS,WAS,re_sign,SG,1,1315448,1315448,Official
2016,6922,Lance Stephenson,MEM,NOP,move,SG,1,1227286,1227286,Agreed
2016,10843,Terrence Jones,HOU,NOP,move,PF,1,1050961,1050961,Official
2016,11160,Brian Roberts,POR,CHA,move,PG,1,1050961,1050961,Official
2016,10813,Thomas Robinson,BKN,LAL,move,PF,1,1050961,1050961,Official
2016,6904,Elliot Williams,,GSW,from_outside,SG,1,1050961,1050961,Official
2016,13442,Ian Clark,GSW,GSW,re_sign,SG,1,1015696,1015696,Official
2016,13349,Ray McCallum,,DET,from_outside,PG,1,1015696,1015696,Official
2016,8105,DeAndre Liggins,,CLE,from_outside,SG,1,1015696,1015696,Official
2016,8644,Julyan Stone,,IND,from_outside,PG,1,1015696,1015696,Official
2016,15386,Cleanthony Early,NYK,NYK,re_sign,SF,1,980431,980431,Official
2016,15783,James McAdoo,GSW,GSW,re_sign,SF,1,980431,980431,Official
2016,8647,Chris Wright,,OKC,from_outside,SF,1,980431,980431,Official
2016,18124,Treveon Graham,,CHA,from_outside,SF,1,543471,543471,Official
2016,17886,J.P. Tokoto,,NYK,from_outside,SG,1,543471,543471,Official
2016,20940,Chasson Randle,,NYK,from_outside,PG,1,543471,543471,Official
2016,15775,Brady Heslip,,TOR,from_outside,PG,1,543471,543471,Official
2016,6899,Kevin Seraphin,NYK,IND,move,PF,0,0,,Official
2017,6287,Stephen Curry,GSW,GSW,re_sign,PG,5,201158790,40231758,Official
2017,6501,Blake Griffin,LAC,LAC,re_sign,PF,5,171174820,34234964,Official
2017,6891,Gordon Hayward,UTA,BOS,move,SF,4,127829970,31957493,Official
2017,6316,Jrue Holiday,NOP,NOP,re_sign,PG,5,126000000,25200000,Official
2017,13316,Otto Porter Jr.,WAS,BKN,move,SF,4,106524975,26631244,Official
2017,2536,Kyle Lowry,TOR,TOR,re_sign,PG,3,100000000,33333333,Official
2017,13337,Tim Hardaway Jr.,ATL,NYK,move,SG,4,70950000,17737500,Official
2017,6313,Serge Ibaka,TOR,TOR,re_sign,C,3,65000000,21666667,Official
2017,6138,Danilo Gallinari,DEN,LAC,move,PF,3,64762737,21587579,Official
2017,2754,Paul Millsap,ATL,DEN,move,PF,2,61000000,30500000,Official
2017,6154,George Hill,UTA,SAC,move,PG,3,57000000,19000000,Official
2017,6272,Jeff Teague,IND,MIN,move,PG,3,57000000,19000000,Official
2017,15852,Joe Ingles,UTA,UTA,re_sign,SF,4,52000000,13000000,Official
2017,10812,Dion Waiters,MIA,MIA,re_sign,SG,4,52000000,13000000,Official
2017,2717,Kevin Durant,GSW,GSW,re_sign,SF,2,51250000,25625000,Official
2017,13326,Kelly Olynyk,BOS,MIA,move,PF,4,50000000,12500000,Official
2017,2518,Pau Gasol,SAS,SAS,re_sign,C,3,48800000,16266667,Official
2017,2652,Andre Iguodala,GSW,GSW,re_sign,SF/SG,3,48000000,16000000,Official
2017,6322,Patty Mills,SAS,SAS,re_sign,PG,4,48000000,12000000,Official
2017,13333,Tony Snell,MIL,MIL,re_sign,SG,4,46000000,11500000,Agreed
2017,6279,James Johnson,MIA,MIA,re_sign,PF,3,43295100,14431700,Official
2017,13335,Mason Plumlee,DEN,DEN,re_sign,C,3,41000000,13666667,Official
2017,11059,P.J. Tucker,TOR,HOU,move,PF,4,31878148,7969537,Official
2017,13339,Andre Roberson,OKC,OKC,re_sign,SG,3,30000000,10000000,Official
2017,6278,Taj Gibson,OKC,MIN,move,PF,2,28000000,14000000,Official
2017,2753,C.J. Miles,IND,TOR,move,SF,3,25000000,8333333,Official
2017,2626,Zach Randolph,MEM,SAC,move,PF,2,24000000,12000000,Official
2017,2477,Shaun Livingston,GSW,GSW,re_sign,PG,3,23692308,7897436,Official
2017,2643,J.J. Redick,LAC,PHI,move,SG,1,23000000,23000000,Official
2017,2752,Kyle Korver,CLE,CLE,re_sign,SG,3,22060000,7353333,Official
2017,8083,Bojan Bogdanovic,WAS,IND,move,SF,2,21000000,10500000,Official
2017,6307,Darren Collison,SAC,IND,move,PG,2,20000000,10000000,Official
2017,17983,Jonathon Simmons,SAS,ORL,move,SF,3,20000000,6666667,Agreed
2017,2534,Rudy Gay,SAC,SAS,move,PF,2,17232300,8616150,Official
2017,18820,Alan Williams,PHX,PHX,re_sign,PF,3,17000000,5666667,Official
2017,6896,Patrick Patterson,TOR,OKC,move,PF,3,16354800,5451600,Official
2017,11666,JaMychal Green,MEM,MEM,re_sign,PF,2,16200000,8100000,Official
2017,8074,Nikola Mirotic,CHI,CHI,re_sign,PF,1,12500000,12500000,Official
2017,8086,Shelvin Mack,UTA,ORL,move,PG,2,12000000,6000000,Official
2017,2304,Amir Johnson,BOS,PHI,move,C,1,11000000,11000000,Official
2017,6103,Nene Hilario,HOU,HOU,re_sign,C,3,10954440,3651480,Official
2017,13320,Ben McLemore,SAC,MEM,move,SF,2,10660000,5330000,Official
2017,2250,Thabo Sefolosha,ATL,UTA,move,SF,2,10500000,5250000,Official
2017,13357,Mike Muscala,ATL,ATL,re_sign,C/PF,2,10000000,5000000,Official
2017,11441,Justin Holiday,NYK,CHI,move,SG,2,9000000,4500000,Official
2017,20278,Ron Baker,NYK,NYK,re_sign,SG,2,8872400,4436200,Official
2017,2618,Jamal Crawford,ATL,MIN,move,SG,2,8872400,4436200,Official
2017,2590,Vince Carter,MEM,SAC,move,SG,1,8000000,8000000,Official
2017,6300,Jodie Meeks,ORL,WAS,move,SG,2,6744500,3372250,Official
2017,6341,Ersan Ilyasova,ATL,ATL,re_sign,PF,1,6000000,6000000,Official
2017,15622,Eric Moreland,,DET,from_outside,PF,3,5478899,1826300,Official
2017,2770,Nick Young,LAL,GSW,move,SG,1,5192000,5192000,Official
2017,13338,Reggie Bullock,DET,DET,re_sign,SF,2,5000000,2500000,Official
2017,2279,Dirk Nowitzki,DAL,DAL,re_sign,PF,1,5000000,5000000,Official
2017,20919,Troy Williams,HOU,HOU,re_sign,SF,3,4693068,1564356,Official
2017,11850,Aron Baynes,DET,BOS,move,C,1,4328000,4328000,Official
2017,13319,Nerlens Noel,DAL,DAL,re_sign,C,1,4187598,4187598,Official
2017,10825,Tyler Zeller,BOS,BKN,move,C,2,3643479,1821740,Official
2017,2203,Zaza Pachulia,GSW,GSW,re_sign,C,1,3477600,3477600,Official
2017,13327,Shabazz Muhammad,MIN,MIN,re_sign,SG,2,3372245,1686123,Official
2017,13352,Jeff Withey,UTA,DAL,move,C,2,3372245,1686123,Official
2017,2222,Rajon Rondo,CHI,NOP,move,PG,1,3300000,3300000,Official
2017,6326,Tyreke Evans,SAC,MEM,move,SG,1,3290000,3290000,Official
2017,6483,Anthony Tolliver,SAC,DET,move,PF,1,3290000,3290000,Official
2017,15767,Tarik Black,LAL,HOU,move,PF,1,3290000,3290000,Official
2017,15370,Tyler Ennis,LAL,LAL,re_sign,PG,2,3180397,1590199,Official
2017,13368,Joffrey Lauvergne,CHI,SAS,move,PF,2,3180397,1590199,Official
2017,20246,Diamond Stone,ATL,CHI,move,C,2,2857562,1428781,Official
2017,18264,Quinn Cook,NOP,ATL,move,PG,2,2857562,1428781,Official
2017,20921,Wayne Selden,MEM,MEM,re_sign,SG,2,2857562,1428781,Official
2017,13324,Michael Carter-Williams,CHI,CHA,move,PG,1,2700000,2700000,Official
2017,2715,Nick Collison,OKC,OKC,re_sign,PF,1,2328652,2328652,Official
2017,2210,Tony Allen,MEM,NOP,move,SG,1,2328652,2328652,Official
2017,2720,Jeff Green,ORL,CLE,move,PF,1,2328652,2328652,Official
2017,2297,Arron Afflalo,SAC,ORL,move,SG,1,2328652,2328652,Agreed
2017,2566,Ramon Sessions,CHA,NYK,move,PG,1,2328652,2328652,Official
2017,2613,David West,GSW,GSW,re_sign,PF,1,2328652,2328652,Agreed
2017,2549,Udonis Haslem,MIA,MIA,re_sign,PF,1,2328652,2328652,Official
2017,6100,Gerald Green,BOS,MIL,move,SG,1,2328652,2328652,Official
